class,minority_ratio_target,n_minority,n_total,separation_multivar,ari_mean,ari_std,n_seeds
BARBUNYA,0.01,40,4000,3.654337317480719,0.014503078798195448,0.0008049384551310193,5
BARBUNYA,0.02,80,4000,3.654337317480719,0.026434009926590545,0.0021798579963024103,5
BARBUNYA,0.03,120,4000,3.654337317480719,0.03876211864098726,0.0026336770124013205,5
BARBUNYA,0.05,200,4000,3.654337317480719,0.06145207357843128,0.00420168538852345,5
BARBUNYA,0.08,320,4000,3.654337317480719,0.08398015052516226,0.004817641923255382,5
BARBUNYA,0.12,480,4000,3.654337317480719,0.1151330538398259,0.00532897604891839,5
BARBUNYA,0.18,720,4000,3.654337317480719,0.14077808521868876,0.00587571587748288,5
BARBUNYA,0.25,1000,4000,3.654337317480719,0.1689146393115259,0.010998281579880934,5
BARBUNYA,0.3,1200,4000,3.654337317480719,0.19669494346643818,0.009505516904714227,5
BOMBAY,0.01,40,4000,15.496466752026109,0.01060656067619934,0.0008612059263161818,5
BOMBAY,0.02,80,4000,15.496466752026109,0.022337496245540482,0.0016915839959960634,5
BOMBAY,0.03,120,4000,15.496466752026109,0.03345891107769116,0.002761278654405575,5
BOMBAY,0.05,200,4000,15.496466752026109,0.05693775734341511,0.005454278422074459,5
BOMBAY,0.08,320,4000,15.496466752026109,0.09168036584747874,0.004104468965276975,5
BOMBAY,0.12,480,4000,15.496466752026109,0.1322647806094867,0.008477851823032054,5
CALI,0.01,40,4000,4.731994972967044,0.021040495307341457,0.0012762925207917082,5
CALI,0.02,80,4000,4.731994972967044,0.03924129652650949,0.0019108853313781248,5
CALI,0.03,120,4000,4.731994972967044,0.05704998024865036,0.004073252074594661,5
CALI,0.05,200,4000,4.731994972967044,0.09002842107629587,0.004006930704104755,5
CALI,0.08,320,4000,4.731994972967044,0.12965974284056175,0.004551200956776846,5
CALI,0.12,480,4000,4.731994972967044,0.17192864248178757,0.012098223832985236,5
CALI,0.18,720,4000,4.731994972967044,0.21435324459870575,0.014667391947780401,5
CALI,0.25,1000,4000,4.731994972967044,0.2552342172471843,0.008591069460673537,5
CALI,0.3,1200,4000,4.731994972967044,0.28828794417757314,0.012907424115003797,5
DERMASON,0.01,40,4000,4.659660215308985,0.003172021025373186,0.000313518604673557,5
DERMASON,0.02,80,4000,4.659660215308985,0.007507225218331184,0.0012882518128014013,5
DERMASON,0.03,120,4000,4.659660215308985,0.012189000199031125,0.000654453066179115,5
DERMASON,0.05,200,4000,4.659660215308985,0.01457749181222839,0.0022305834340399047,5
DERMASON,0.08,320,4000,4.659660215308985,0.02660326196877812,0.0026396390232896103,5
DERMASON,0.12,480,4000,4.659660215308985,0.040547408464486304,0.005238158949802719,5
DERMASON,0.18,720,4000,4.659660215308985,0.060593241674576734,0.007180101038938503,5
DERMASON,0.25,1000,4000,4.659660215308985,0.09906855966635139,0.006939772847996406,5
DERMASON,0.3,1200,4000,4.659660215308985,0.13114546251362294,0.005783836247156233,5
HOROZ,0.01,40,4000,6.602602758401385,0.023583085627074722,0.0014382067850598652,5
HOROZ,0.02,80,4000,6.602602758401385,0.047173906252717376,0.002678972940393835,5
HOROZ,0.03,120,4000,6.602602758401385,0.06838504081527388,0.0033668138689840464,5
HOROZ,0.05,200,4000,6.602602758401385,0.09998736377862631,0.006903938751908996,5
HOROZ,0.08,320,4000,6.602602758401385,0.1403708590979904,0.00541596795949296,5
HOROZ,0.12,480,4000,6.602602758401385,0.1747393063619324,0.004993279305237857,5
HOROZ,0.18,720,4000,6.602602758401385,0.21903848072251977,0.012715706108375024,5
HOROZ,0.25,1000,4000,6.602602758401385,0.26163750138724773,0.014903634020163516,5
HOROZ,0.3,1200,4000,6.602602758401385,0.2953158191657329,0.004760247355004054,5
SEKER,0.01,40,4000,6.8593006800764185,-0.003237524951377326,0.0006175946747650544,5
SEKER,0.02,80,4000,6.8593006800764185,-0.005883171700511015,0.0007770565769633669,5
SEKER,0.03,120,4000,6.8593006800764185,-0.008064987972108233,0.001195684686800644,5
SEKER,0.05,200,4000,6.8593006800764185,-0.012679309755981827,0.0020677059785673708,5
SEKER,0.08,320,4000,6.8593006800764185,-0.01503455669918533,0.0027378017874528726,5
SEKER,0.12,480,4000,6.8593006800764185,-0.012478524675488932,0.005303410653957791,5
SEKER,0.18,720,4000,6.8593006800764185,0.012854105771154367,0.0073144047326556836,5
SEKER,0.25,1000,4000,6.8593006800764185,0.044963838015352905,0.008172438784785789,5
SEKER,0.3,1200,4000,6.8593006800764185,0.07844694352318415,0.015377949551706842,5
SIRA,0.01,40,4000,1.1613568428761643,-0.0012187424918051622,0.0004346810885865204,5
SIRA,0.02,80,4000,1.1613568428761643,-0.0018423624067794493,0.0005915579583613346,5
SIRA,0.03,120,4000,1.1613568428761643,-0.00302986938809759,0.000453187035098441,5
SIRA,0.05,200,4000,1.1613568428761643,-0.006531805621359082,0.0012898991113677017,5
SIRA,0.08,320,4000,1.1613568428761643,-0.007953694304193936,0.0013528050614564143,5
SIRA,0.12,480,4000,1.1613568428761643,-0.008702155129397728,0.0012997002030426255,5
SIRA,0.18,720,4000,1.1613568428761643,-0.006940858677538989,0.0019304037072617555,5
SIRA,0.25,1000,4000,1.1613568428761643,0.008244568862813165,0.004834365413367701,5
SIRA,0.3,1200,4000,1.1613568428761643,0.023940765808977017,0.0018555199839748217,5
