minority_ratio,separation,seed,ari
0.01,2.0,62,0.00082444683392026
0.01,2.0,63,0.0008555667257622372
0.01,2.0,64,0.000833492662634762
0.01,2.0,65,-8.564253853781047e-05
0.01,2.0,66,0.0007448003202343831
0.01,3.0,42,0.002162491406992365
0.01,3.0,43,-5.044283836703418e-05
0.01,3.0,44,0.0006967890025697082
0.01,3.0,45,3.0339491206087683e-06
0.01,3.0,46,-0.00018119262820756227
0.01,3.0,47,9.660150205860817e-05
0.01,3.0,48,0.0001338893558049949
0.01,3.0,49,0.0008431229446832064
0.01,3.0,50,0.002676191414874071
0.01,3.0,51,0.0009239745316647286
0.01,3.0,52,0.0003436711584823735
0.01,3.0,53,0.0008069581653615596
0.01,3.0,54,-0.00035046418459135905
0.01,3.0,55,0.0024139521661859847
0.01,3.0,56,0.001804623251290753
0.01,3.0,57,0.001185836170525478
0.01,3.0,58,0.001106454825669662
0.01,3.0,59,0.0010627115562840748
0.01,3.0,60,-3.877451504778961e-05
0.01,3.0,61,0.0003567304132852227
0.01,3.0,62,0.0008545649481267953
0.01,3.0,63,0.0009899758198308615
0.01,3.0,64,0.0008221228342489188
0.01,3.0,65,0.00045201796440484985
0.01,3.0,66,0.0013195800400242986
0.01,4.0,42,-0.0007567027483601837
0.01,4.0,43,0.0002598684063172844
0.01,4.0,44,0.001118277809775904
0.01,4.0,45,-0.00014031717176316645
0.01,4.0,46,0.0015261529134985867
0.01,4.0,47,-0.0003887067961738321
0.01,4.0,48,1.2153018465026587e-06
0.01,4.0,49,0.001121265247299056
0.01,4.0,50,0.002461068305356629
0.01,4.0,51,0.0017480830473868652
0.01,4.0,52,0.00019705728960587934
0.01,4.0,53,0.0011295395793838553
0.01,4.0,54,0.0002009319426710877
0.01,4.0,55,0.00307114164561846
0.01,4.0,56,0.0030226578264465633
0.01,4.0,57,0.0007870615995563834
0.01,4.0,58,0.0025434309815364673
0.01,4.0,59,0.0008969311410879692
0.01,4.0,60,0.0001597741209869648
0.01,4.0,61,0.0003322135851489012
0.01,4.0,62,0.000513348195778043
0.01,4.0,63,0.0006283001281329341
0.01,4.0,64,0.001325030756447535
0.01,4.0,65,0.0010610858034994868
0.01,4.0,66,0.0015612612075769066
0.01,6.0,42,-0.0010768324427407215
0.01,6.0,43,-0.00016785723321729773
0.01,6.0,44,0.0006196872007638667
0.01,6.0,45,0.0007050773701501324
0.01,6.0,46,0.0041661989634546185
0.01,6.0,47,0.00053458108312306
0.01,6.0,48,0.009936209113621034
0.01,6.0,49,0.003680323268587864
0.01,6.0,50,0.0072733606719703565
0.01,6.0,51,0.005738792433462225
0.01,6.0,52,0.0006701733521963124
0.01,6.0,53,0.002435870535955448
0.01,6.0,54,-0.0001574047748687908
0.01,6.0,55,0.009644475830871855
0.01,6.0,56,0.006041860306958334
0.01,6.0,57,0.0009226278870775956
0.01,6.0,58,0.004552368912610294
0.01,6.0,59,0.0015932027685183151
0.01,6.0,60,0.0011451543945651356
0.01,6.0,61,0.0008262254813939633
0.01,6.0,62,0.00043116939535978513
0.01,6.0,63,0.00033530626104296416
0.01,6.0,64,0.0026327488997519434
0.01,6.0,65,0.0009239745316647286
0.01,6.0,66,0.0025586139317773466
0.01,8.0,42,0.08171987996536893
0.01,8.0,43,-0.0012858385394673671
0.01,8.0,44,0.001356099063630196
0.01,8.0,45,0.003462992365672401
0.01,8.0,46,0.00697559890813344
0.01,8.0,47,0.0031562525325701026
0.01,8.0,48,0.012569776539167755
0.01,8.0,49,0.007026171240125183
0.01,8.0,50,0.010034212920034263
0.01,8.0,51,0.009585622368978168
0.01,8.0,52,0.0010724007965738722
0.01,8.0,53,0.0029970022987538102
0.01,8.0,54,-0.0005442293538613866
0.01,8.0,55,0.011835106305289484
0.01,8.0,56,0.004491046890359362
0.01,8.0,57,0.0007690290884607408
0.01,8.0,58,0.008433869573477259
0.01,8.0,59,0.0027700488819746836
0.01,8.0,60,0.0022093433239304895
0.01,8.0,61,0.0010161628596112372
0.01,8.0,62,0.0010267842658286748
0.01,8.0,63,-0.003962737376100394
0.01,8.0,64,0.002425721354906814
0.01,8.0,65,-0.00040104048754064937
0.01,8.0,66,0.004565357630460126
0.01,10.0,42,0.09342691342548794
0.01,10.0,43,0.01903205248187215
