n_components,minority_ratio,n_seeds,ari_mean,ari_std
2,0.05,5,0.13704165521765624,0.014427592018376796
3,0.05,5,0.1359518125289206,0.013057445076194581
4,0.05,5,0.1355094625654338,0.013279775342718443
5,0.05,5,0.13544097994005966,0.013405486709825528
6,0.05,5,0.1355094625654338,0.013279775342718443
7,0.05,5,0.13507346452998037,0.01360164937577417
8,0.05,5,0.1352093529666153,0.013349435573295543
9,0.05,5,0.13461992836940267,0.014687650413302899
10,0.05,5,0.13514130162092405,0.013475646220379427
